"","accession","isolate","collection.date.formatted","collection.date.decimal","iso.country.code","iso.country","iso.subdivision.code","iso.subdivision.name","genotype","host.class","host.order","host.genus","host.species","isolation.source","seq.length","full.length","seq.technology","title","pubmed.id_1","citation_1","region","moltype","pubmed.id_2","pubmed.id_3","pubmed.id_4","pubmed.id_5","pubmed.id_6","citation_2","citation_3","citation_4","citation_5","citation_6","notes","genbank.createdate","is.europe","segment","flags"
"49","OR757497","17404.2.5",2023-07-16,2023.53698630137,"IT","Italy","45","Emilia-Romagna",NA,"Insecta","Diptera","Culex","pipiens",NA,10835,"nflg","Illumina","Usutu virus isolate 17404.2.5 polyprotein gene, complete cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","EmiliaRomagna","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg",""
"50","OR757496","17404.2.3",2023-07-15,2023.53424657534,"IT","Italy","45","Emilia-Romagna",NA,"Aves","Passeriformes","Sylvia","atricapilla",NA,10609,"nflg","Illumina","Usutu virus isolate 17404.2.3 polyprotein gene, partial cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","EmiliaRomagna","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg",""
"51","OR757495","17404.2.2",2023-07-18,2023.54246575342,"IT","Italy","45","Emilia-Romagna",NA,"Insecta","Diptera","Culex","pipiens",NA,10539,"nflg","Illumina","Usutu virus isolate 17404.2.2 polyprotein gene, partial cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","EmiliaRomagna","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg",""
"52","OR757494","17404.2.20",2023-07-24,2023.55890410959,"IT","Italy","45","Emilia-Romagna",NA,"Aves","Passeriformes","Turdus","merula",NA,10647,"nflg","Illumina","Usutu virus isolate 17404.2.20 polyprotein gene, complete cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","EmiliaRomagna","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg",""
"53","OR757493","17404.2.16",2023-07-15,2023.53424657534,"IT","Italy","21","Piemonte",NA,"Insecta","Diptera","Culex","pipiens",NA,10646,"nflg","Illumina","Usutu virus isolate 17404.2.16 polyprotein gene, complete cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","Piedmont","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg",""
"54","OR757492","17404.2.13",2023-07-24,2023.55890410959,"IT","Italy","45","Emilia-Romagna",NA,"Insecta","Diptera","Culex","pipiens",NA,10647,"nflg","Illumina","Usutu virus isolate 17404.2.13 polyprotein gene, complete cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","EmiliaRomagna","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg",""
"55","OR757491","17404.2.12",2023-07-20,2023.54794520548,"IT","Italy","45","Emilia-Romagna",NA,NA,NA,NA,NA,NA,10400,"nflg","Illumina","Usutu virus isolate 17404.2.12 polyprotein gene, partial cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","EmiliaRomagna","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg","host_missing"
"56","OR757490","17404.2.10",2023-07-11,2023.52328767123,"IT","Italy","45","Emilia-Romagna",NA,"Insecta","Diptera","Culex","pipiens",NA,10401,"nflg","Illumina","Usutu virus isolate 17404.2.10 polyprotein gene, partial cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","EmiliaRomagna","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg",""
"57","OR757489","15721.2.6",2023-07-07,2023.51232876712,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10400,"nflg","Illumina","Usutu virus isolate 15721.2.6 polyprotein gene, partial cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","Veneto","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg",""
"58","OR757488","15721.2.4",2023-07-06,2023.5095890411,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10401,"nflg","Illumina","Usutu virus isolate 15721.2.4 polyprotein gene, partial cds",NA,"Submitted (31-OCT-2023) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy","Veneto","rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-11-19,"European","nflg",""
"59","OR573993","AS201700147",2017-08-15,2017.61917808219,"NL","Netherlands","LI","Limburg",NA,"Aves","Anseriformes","Branta","ruficollis","brain",10728,"nflg","Nanopore","Usutu virus isolate AS201700147, complete genome",NA,"Unpublished","Limburg","rna",NA,NA,NA,NA,NA,"Submitted (18-SEP-2023) Viroscience, Erasmus MC Rotterdam, Doctor Molewaterplein 40, Rotterdam 3015 GD, Netherlands",NA,NA,NA,NA,NA,2023-10-24,"European","nflg",""
"60","OR573992","AS201700144",2017-08-15,2017.61917808219,"NL","Netherlands","LI","Limburg",NA,"Aves","Anseriformes","Branta","ruficollis","brain",10728,"nflg","Nanopore","Usutu virus isolate AS201700144, complete genome",NA,"Unpublished","Limburg","rna",NA,NA,NA,NA,NA,"Submitted (18-SEP-2023) Viroscience, Erasmus MC Rotterdam, Doctor Molewaterplein 40, Rotterdam 3015 GD, Netherlands",NA,NA,NA,NA,NA,2023-10-24,"European","nflg",""
"61","OR141598","20 51217-UGF208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10792,"nflg","Nanopore","Usutu virus isolate 20 51217-UGF208, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"62","OR141597","20 51217-UGF197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10214,"nflg","Nanopore","Usutu virus isolate 20 51217-UGF197, partial genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"63","OR141596","20 51217-UGF170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10647,"nflg","Nanopore","Usutu virus isolate 20 51217-UGF170, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"64","OR141595","VD-2020/58610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10873,"nflg","Nanopore","Usutu virus isolate VD-2020/58610, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"65","OR141594","201015295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11065,"nflg","Nanopore","Usutu virus isolate 201015295, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"66","OR141593","201014447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11027,"nflg","Nanopore","Usutu virus isolate 201014447, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"67","OR141592","201013632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11027,"nflg","Nanopore","Usutu virus isolate 201013632, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"68","OR141591","20 51217-UGF201/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11065,"nflg","Nanopore","Usutu virus isolate 20 51217-UGF201/2, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"69","OR141590","3248, 200666092-005, A20237360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11027,"nflg","Nanopore","Usutu virus isolate 3248, 200666092-005, A20237360, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"70","OR141589","2458, 200552579, A20197334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11019,"nflg","Nanopore","Usutu virus isolate 2458, 200552579, A20197334, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"71","OR141588","2261, 200510902-006, A20181852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11027,"nflg","Nanopore","Usutu virus isolate 2261, 200510902-006, A20181852, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"72","OR141587","M 3401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11027,"nflg","Nanopore","Usutu virus isolate M 3401, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"73","OR141586","ED-I-232/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11027,"nflg","Nanopore","Usutu virus isolate ED-I-232/20, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"74","OR141585","20 51217-UGF217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate 20 51217-UGF217, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"75","OR141584","20 51217-UGF204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate 20 51217-UGF204, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"76","OR141583","2440, 200544406, A20194659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate 2440, 200544406, A20194659, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"77","OR141582","04-51020-000781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate 04-51020-000781, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"78","OR141581","4220027299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate 4220027299, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"79","OR141580","4220027168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate 4220027168, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"80","OR141579","1982; 200429855-6; A2015048/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate 1982, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"81","OR141578","M 3583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate M 3583, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"82","OR141577","ED-I-220/20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate ED-I-220/20, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"83","OR141576","19 51217-UGF194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10647,"nflg","Nanopore","Usutu virus isolate 19 51217-UGF194, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"84","OR141575","19 51217-UGF184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10647,"nflg","Nanopore","Usutu virus isolate 19 51217-UGF184, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"85","OR141574","19 51217-UGF179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11035,"nflg","Nanopore","Usutu virus isolate 19 51217-UGF179, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"86","OR141573","19 51217-UGF178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10647,"nflg","Nanopore","Usutu virus isolate 19 51217-UGF178, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"87","OR141572","ED-I-138/19 (VD-2019/55644)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10647,"nflg","Nanopore","Usutu virus isolate ED-I-138/19 (VD-2019/55644), complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"88","OR141571","191013248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate 191013248, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"89","OR141570","B-11386-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11065,"nflg","Nanopore","Usutu virus isolate B-11386-19, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"90","OR141569","VD-2019/66038/3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate VD-2019/66038/3, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"91","OR141568","M 1827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate M 1827, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"92","OR141567","M 2349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate M 2349, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
"93","OR141566","ED-I-68/19 Nr.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10932,"nflg","Nanopore","Usutu virus isolate ED-I-68/19 Nr.1, complete genome",NA,"Submitted (15-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-05,"European","nflg","collection.date_missing,country_missing,subdivision_missing,host_missing"
